Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Author
@JaviGutierrez34 Hola buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 14:34:34,es,,0.0,0.0,@JaviGutierrez34,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@EdmundoDantes_ Hola buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 14:34:12,es,,0.0,0.0,@EdmundoDantes_,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@SashaMi25134288 Hola buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 14:34:01,es,,0.0,0.0,@SashaMi25134288,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@danielainf Hola buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 14:33:51,es,,0.0,0.0,@danielainf,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@RoGarciaPed Hola buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 14:33:14,es,,0.0,0.0,@RoGarciaPed,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
"@pidoelsilencio Banco provincia tenes 10% todos los amrtes, 30% una vez por mes. Banco ciudad (con modo) tenes 20% en cualquier compra (1500p de tope)",2022-05-30 14:17:33,es,,0.0,0.0,@pidoelsilencio,Miguel,,1939.0,788.0,319.0,79.0,3.0,False,,,@Nek0sit0
@ansesgob  como validar la fe de vida de una persona de 92 años. Cual es el tramite q se tiene q hacer q le depositen la jubilacion y pension en el.banco ciudad,2022-05-30 14:11:39,es,,0.0,0.0,@ansesgob,Ester M,Lic. en https://t.co/E5lledW8E6. trab. en estudio de comercio exterior,15605.0,2271.0,1233.0,99.0,2.0,False,,,@ester_d_m
@Gabi_2_0_0_6 buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:54:10,es,,0.0,0.0,@Gabi_2_0_0_6,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@darcybebe buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:53:38,es,,0.0,0.0,@darcybebe,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@LindaHe19687617 buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:53:29,es,,0.0,0.0,@LindaHe19687617,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
@irmanas54619845 buenos días Contáctanos por esté medio para ayudarte con tu inconveniente Déjanos tú número de teléfono para que un Ejecutivo de cuenta se comunique con usted Banco Ciudad.,2022-05-30 13:53:22,es,,0.0,0.0,@irmanas54619845,Banco Ciudad 🇦🇷,Atención al cliente Contáctanos por esté medio para ayudarte con tu inconveniente.,207.0,0.0,105.0,3.0,0.0,False,,,@HBciudad_chat
